Warehouse,Product,Supplier,Stock_Level,Reorder_Level,Transport_Cost,Last_Updated
WH-B,Keyboard,Supplier-B,,125,1804.11,2025-01-26
WH-E,Mobile,Supplier-X,358.0,196,1795.46,2026-01-07
WH-D,Printer,Supplier-A,30.0,144,1256.79,2025-11-17
WH-D,Speaker,Supplier-B,,85,1199.27,2025-12-18
WH-D,Keyboard,Supplier-Y,439.0,69,1740.86,2026-03-25
WH-B,Monitor,Supplier-X,340.0,150,1640.01,2024-10-08
WH-E,CPU,Supplier-X,,184,1787.95,2026-05-01
WH-A,Speaker,Supplier-Y,,50,1473.63,2025-10-04
WH-D,Laptop,Supplier-X,58.0,100,1505.99,2025-12-21
WH-A,Speaker,Supplier-Z,,98,1104.52,2025-03-03
WH-C,Keyboard,Supplier-Z,401.0,145,1625.15,2025-08-04
WH-A,Camera,Supplier-B,193.0,198,1581.88,2024-08-27
WH-A,Laptop,Supplier-Y,,143,1473.51,2026-02-26
WH-B,CPU,Supplier-Y,112.0,57,1364.87,2025-07-04
WH-A,Laptop,Supplier-Z,143.0,24,1491.54,2026-01-18
WH-A,Printer,Supplier-Z,,108,1427.47,2026-02-10
WH-E,Camera,Supplier-A,,113,2049.94,2025-03-09
WH-C,Printer,Supplier-Y,295.0,79,1592.86,2025-10-10
WH-E,Printer,Supplier-Y,362.0,75,1734.32,2024-12-01
WH-A,CPU,Supplier-A,,175,1129.07,2025-12-23
WH-D,Monitor,Supplier-B,427.0,198,1987.58,2026-02-21
WH-C,Monitor,Supplier-Z,465.0,187,1870.86,2024-07-08
WH-D,Mobile,Supplier-Z,36.0,182,1353.79,2025-11-27
WH-D,Tablet,Supplier-Y,302.0,177,1759.51,2025-12-04
WH-D,Mobile,Supplier-B,126.0,111,1449.58,2025-06-28
WH-E,Tablet,Supplier-Z,,88,1481.07,2026-01-31
WH-D,Keyboard,Supplier-Z,402.0,124,1663.39,2025-11-27
WH-B,Monitor,Supplier-X,256.0,107,1472.41,2024-07-29
WH-D,Camera,Supplier-Y,81.0,196,1474.07,2026-04-27
WH-A,Camera,Supplier-B,31.0,44,1257.51,2025-05-16
WH-D,Monitor,Supplier-A,344.0,76,1786.73,2026-06-06
WH-E,Speaker,Supplier-X,319.0,55,1419.28,2025-10-16
WH-E,Mouse,Supplier-B,464.0,183,1759.42,2026-04-12
WH-C,Speaker,Supplier-A,374.0,91,1522.5,2026-02-26
WH-D,Printer,Supplier-Y,,45,1841.73,2025-05-09
WH-D,Speaker,Supplier-Y,356.0,96,1674.54,2025-02-09
WH-A,Monitor,Supplier-B,483.0,78,1803.26,2025-06-22
WH-D,CPU,Supplier-A,33.0,177,1198.52,2025-03-09
WH-D,Tablet,Supplier-Y,28.0,165,1288.72,2025-05-03
WH-A,Laptop,Supplier-B,82.0,103,1412.22,2024-10-02
WH-B,Mouse,Supplier-B,92.0,37,1080.06,2025-11-27
WH-D,CPU,Supplier-Y,405.0,125,2011.77,2026-07-01
WH-E,Mouse,Supplier-X,289.0,192,1323.31,2025-09-13
WH-E,Speaker,Supplier-Y,,170,1537.45,2024-10-29
WH-D,Laptop,Supplier-B,429.0,196,2131.04,2025-12-21
WH-E,Camera,Supplier-Y,150.0,183,1497.23,2026-02-21
WH-B,Camera,Supplier-X,183.0,50,1547.53,2024-07-12
WH-B,Mobile,Supplier-X,414.0,179,2004.65,2025-01-08
WH-D,Monitor,Supplier-A,173.0,145,1472.43,2026-05-21
WH-C,Laptop,Supplier-Z,,164,1708.06,2024-10-30
WH-D,Camera,Supplier-Z,298.0,128,1854.78,2026-05-27
WH-B,Keyboard,Supplier-Z,163.0,20,1256.97,2025-11-20
WH-D,Printer,Supplier-A,,82,1731.59,2025-07-01
WH-E,Speaker,Supplier-Y,164.0,74,1251.85,2024-11-14
WH-A,Tablet,Supplier-Y,,163,1203.55,2025-01-24
WH-C,Laptop,Supplier-B,73.0,101,1345.61,2026-04-11
WH-A,Laptop,Supplier-X,26.0,67,1324.18,2025-10-15
WH-B,Camera,Supplier-B,234.0,67,1800.99,2025-01-10
WH-B,Mobile,Supplier-B,2.0,162,1212.96,2025-11-20
WH-C,Camera,Supplier-Z,359.0,170,1886.81,2025-10-15
WH-A,CPU,Supplier-Z,245.0,121,1495.29,2024-08-18
WH-A,Monitor,Supplier-Y,72.0,30,1126.32,2026-02-16
WH-D,Tablet,Supplier-Y,328.0,178,1853.33,2024-12-12
WH-C,Laptop,Supplier-B,,162,2232.91,2024-11-20
WH-D,Printer,Supplier-B,416.0,113,1929.95,2025-06-09
WH-B,Mouse,Supplier-B,209.0,200,1236.29,2025-10-21
WH-C,Tablet,Supplier-Z,212.0,179,1472.63,2026-04-08
WH-C,Camera,Supplier-Z,70.0,178,1349.45,2025-10-29
WH-E,Laptop,Supplier-A,,30,1554.94,2025-11-30
WH-E,Tablet,Supplier-A,,41,1940.93,2025-02-02
WH-A,Keyboard,Supplier-B,132.0,10,1031.72,2025-10-02
WH-B,CPU,Supplier-B,,136,1201.39,2024-07-01
WH-E,Mobile,Supplier-Y,30.0,117,1258.18,2025-05-05
WH-A,CPU,Supplier-Z,248.0,101,1545.82,2025-06-03
WH-A,Keyboard,Supplier-X,,59,1660.55,2025-01-30
WH-A,Mobile,Supplier-B,146.0,148,1376.26,2025-11-02
WH-B,Keyboard,Supplier-A,404.0,131,1572.73,2025-05-19
WH-E,Laptop,Supplier-Z,242.0,107,1822.81,2025-03-02
WH-C,Mobile,Supplier-Y,,42,1716.29,2024-10-04
WH-D,Keyboard,Supplier-X,1.0,177,1024.14,2024-10-12
WH-D,Monitor,Supplier-Y,313.0,17,1722.6,2025-04-30
WH-C,Laptop,Supplier-Y,364.0,148,1917.24,2025-08-04
WH-D,Laptop,Supplier-Y,405.0,157,2138.53,2025-08-22
WH-B,Monitor,Supplier-Z,38.0,22,1233.84,2025-07-12
WH-D,Tablet,Supplier-Z,,65,1805.02,2026-01-23
WH-D,Mouse,Supplier-B,441.0,191,1769.16,2026-02-10
WH-A,Mouse,Supplier-Y,58.0,144,947.73,2024-10-13
WH-E,Monitor,Supplier-A,,163,1474.86,2026-02-24
WH-B,Camera,Supplier-A,167.0,80,1609.71,2024-10-14
WH-B,Speaker,Supplier-X,438.0,53,1740.84,2025-02-15
WH-D,Mobile,Supplier-X,,88,1851.84,2025-01-09
WH-C,Tablet,Supplier-Z,463.0,74,2000.74,2026-06-02
WH-A,Mouse,Supplier-B,,146,1481.33,2024-08-03
WH-E,CPU,Supplier-A,387.0,153,1700.75,2025-01-10
WH-D,Tablet,Supplier-Y,251.0,19,1700.23,2024-10-01
WH-C,Keyboard,Supplier-Y,87.0,127,996.93,2024-11-04
WH-E,Keyboard,Supplier-B,258.0,40,1360.84,2026-03-27
WH-C,Keyboard,Supplier-Y,495.0,78,1814.92,2024-07-02
WH-E,Laptop,Supplier-B,217.0,174,1715.15,2025-11-04
WH-A,Mobile,Supplier-X,200.0,180,1462.32,2025-01-22
WH-D,Monitor,Supplier-A,448.0,22,1828.41,2025-11-01
WH-A,Monitor,Supplier-A,146.0,21,1240.11,2026-04-20
WH-A,Monitor,Supplier-B,454.0,77,1839.47,2026-02-19
WH-E,CPU,Supplier-Z,66.0,72,1341.96,2025-10-17
WH-B,Camera,Supplier-Z,,172,1294.61,2025-04-08
WH-D,Monitor,Supplier-Z,325.0,52,1755.96,2025-08-17
WH-E,Keyboard,Supplier-B,90.0,134,1069.47,2025-09-28
WH-A,Keyboard,Supplier-A,60.0,134,956.87,2025-08-29
WH-E,Camera,Supplier-Z,,99,1435.04,2024-10-17
WH-C,Camera,Supplier-X,,173,1658.55,2026-01-13
WH-A,Mobile,Supplier-Y,454.0,178,1977.59,2025-09-07
WH-A,Mobile,Supplier-A,419.0,56,1853.53,2025-01-01
WH-C,CPU,Supplier-Y,,198,1725.28,2025-06-16
WH-E,Keyboard,Supplier-Y,,132,1225.9,2025-03-14
WH-B,CPU,Supplier-X,134.0,36,1374.88,2024-11-12
WH-A,Laptop,Supplier-X,119.0,82,1362.87,2024-07-13
WH-E,Monitor,Supplier-B,152.0,102,1345.25,2025-01-25
WH-A,Printer,Supplier-X,391.0,33,1668.79,2024-12-26
WH-E,Camera,Supplier-X,310.0,129,1842.75,2025-08-18
WH-A,Keyboard,Supplier-X,236.0,68,1128.64,2024-10-10
WH-A,Monitor,Supplier-B,388.0,171,1660.45,2026-06-11
WH-A,CPU,Supplier-A,171.0,191,1296.66,2025-06-14
WH-D,Mouse,Supplier-X,374.0,21,1661.48,2025-04-08
WH-B,Keyboard,Supplier-Y,5.0,149,915.71,2026-05-28
WH-A,Laptop,Supplier-Z,92.0,30,1397.84,2026-02-19
WH-E,Camera,Supplier-Z,488.0,170,2257.46,2025-08-06
WH-B,Mobile,Supplier-Y,184.0,176,1488.8,2026-06-17
WH-E,Tablet,Supplier-B,135.0,120,1298.06,2026-01-15
WH-C,Keyboard,Supplier-B,150.0,168,1162.0,2026-03-20
WH-B,Mobile,Supplier-B,33.0,114,1274.3,2024-09-27
WH-C,Speaker,Supplier-X,,192,1459.74,2026-01-17
WH-B,Keyboard,Supplier-B,179.0,108,1277.62,2026-06-16
WH-C,Monitor,Supplier-B,,26,1638.99,2026-06-04
WH-C,Keyboard,Supplier-X,433.0,161,1581.2,2024-09-17
WH-D,Monitor,Supplier-A,178.0,166,1346.38,2026-06-14
WH-D,Speaker,Supplier-Z,,188,1626.22,2026-04-24
WH-B,Speaker,Supplier-Z,,32,1183.51,2026-05-12
WH-D,Camera,Supplier-Z,423.0,107,2116.44,2024-09-13
WH-D,Monitor,Supplier-A,239.0,173,1612.53,2026-03-16
WH-B,CPU,Supplier-Y,,36,1864.7,2026-01-05
WH-D,Keyboard,Supplier-A,433.0,165,1623.12,2026-03-09
WH-A,CPU,Supplier-X,438.0,185,1733.8,2025-03-01
WH-A,Tablet,Supplier-A,147.0,162,1302.32,2024-10-19
WH-C,Mobile,Supplier-B,,89,1432.57,2026-03-11
WH-D,Speaker,Supplier-X,167.0,62,1258.54,2025-04-20
WH-B,Tablet,Supplier-Y,,106,1350.6,2025-01-30
WH-C,Tablet,Supplier-B,429.0,25,1849.62,2024-11-05
WH-D,Speaker,Supplier-X,69.0,167,1166.39,2026-02-01
WH-E,Speaker,Supplier-B,169.0,72,1235.09,2025-04-26
WH-E,Mouse,Supplier-Z,283.0,61,1460.26,2025-08-27
WH-D,Monitor,Supplier-Y,476.0,82,2003.94,2026-02-26
WH-B,Mobile,Supplier-X,,52,1816.84,2025-05-14
WH-B,Speaker,Supplier-Y,35.0,200,1041.49,2026-06-29
WH-C,Mouse,Supplier-B,11.0,44,892.19,2025-01-07
WH-C,Printer,Supplier-X,,99,1107.34,2024-08-19
WH-D,Mouse,Supplier-Z,446.0,128,1839.26,2026-06-11
WH-D,Laptop,Supplier-X,33.0,176,1419.23,2026-02-10
WH-B,Monitor,Supplier-Z,465.0,40,1982.45,2025-10-11
WH-D,Mouse,Supplier-Z,423.0,200,1726.91,2024-11-16
WH-E,Printer,Supplier-X,235.0,69,1570.01,2025-06-06
WH-E,Monitor,Supplier-X,432.0,18,1768.78,2025-07-22
WH-D,Printer,Supplier-X,300.0,156,1780.05,2025-04-07
WH-A,Tablet,Supplier-B,81.0,111,1233.79,2025-07-24
WH-C,Laptop,Supplier-X,220.0,162,1574.46,2025-09-19
WH-E,Mobile,Supplier-Y,428.0,42,1981.81,2025-08-24
WH-D,Laptop,Supplier-B,427.0,136,2124.55,2026-02-03
WH-E,Camera,Supplier-Y,,153,2101.63,2026-06-27
WH-D,Keyboard,Supplier-X,190.0,170,1239.37,2025-11-10
WH-C,Speaker,Supplier-X,477.0,63,1706.29,2026-02-05
WH-C,CPU,Supplier-A,343.0,182,1542.92,2026-03-28
WH-C,Laptop,Supplier-B,265.0,193,1744.38,2025-11-17
WH-B,Laptop,Supplier-B,218.0,24,1611.21,2025-02-02
WH-C,CPU,Supplier-X,129.0,78,1183.0,2025-10-12
WH-C,Speaker,Supplier-X,,132,938.62,2026-01-26
WH-C,CPU,Supplier-Y,151.0,199,1371.09,2026-01-25
WH-B,Tablet,Supplier-A,303.0,114,1706.67,2025-02-19
WH-A,Mouse,Supplier-X,120.0,185,927.65,2025-01-30
WH-B,Mouse,Supplier-B,10.0,168,915.61,2026-06-04
WH-E,Keyboard,Supplier-X,276.0,125,1351.62,2025-09-29
WH-D,Mobile,Supplier-Y,,167,1560.48,2026-05-14
WH-A,Monitor,Supplier-B,306.0,62,1615.97,2025-10-19
WH-A,Camera,Supplier-Z,171.0,100,1561.67,2025-08-08
WH-D,Mobile,Supplier-Z,352.0,118,1932.55,2025-07-27
WH-B,CPU,Supplier-Y,86.0,159,1266.14,2026-06-23
WH-C,CPU,Supplier-Y,,144,1677.02,2025-07-28
WH-E,Tablet,Supplier-Y,354.0,150,1690.11,2024-08-15
WH-D,Camera,Supplier-X,414.0,101,2032.84,2025-07-22
WH-E,Laptop,Supplier-Y,230.0,163,1684.9,2026-04-23
WH-D,Monitor,Supplier-Y,,124,1657.72,2026-03-07
WH-B,Printer,Supplier-Y,376.0,69,1792.74,2024-08-17
WH-E,Laptop,Supplier-A,,111,1367.48,2025-12-18
WH-D,Camera,Supplier-A,93.0,107,1489.44,2025-09-13
WH-E,Tablet,Supplier-Y,36.0,64,1191.24,2025-12-26
WH-E,Mobile,Supplier-Z,,74,1805.43,2026-01-15
